sample_accession	experiment_accession	run_accession	sample_alias
SAMN11942134	SRX5989143	SRR9218404	cl-0003_16S
SAMN11941962	SRX5989142	SRR9218405	bh-0114_16S
SAMN11941961	SRX5989141	SRR9218406	bh-0113_16S
SAMN11942137	SRX5989140	SRR9218407	cl-0007_16S
SAMN11942138	SRX5989139	SRR9218408	cl-0008_16S
SAMN11941958	SRX5989138	SRR9218409	bh-0110_16S
SAMN11941957	SRX5989137	SRR9218410	bh-0109_16S
SAMN11941960	SRX5989136	SRR9218411	bh-0112_16S
SAMN11941959	SRX5989135	SRR9218412	bh-0111_16S
SAMN11941954	SRX5989134	SRR9218413	bh-0106_16S
SAMN11941953	SRX5989133	SRR9218414	bh-0105_16S
SAMN11941956	SRX5989132	SRR9218415	bh-0108_16S
SAMN11941955	SRX5989131	SRR9218416	bh-0107_16S
SAMN11941751	SRX5989130	SRR9218417	ba-0091_16S
SAMN11941752	SRX5989129	SRR9218418	ba-0092_16S
SAMN11941747	SRX5989128	SRR9218419	ba-0087_16S
SAMN11941748	SRX5989127	SRR9218420	ba-0088_16S
SAMN11941749	SRX5989126	SRR9218421	ba-0089_16S
SAMN11941750	SRX5989125	SRR9218422	ba-0090_16S
SAMN11941743	SRX5989124	SRR9218423	ba-0081_16S
SAMN11941744	SRX5989123	SRR9218424	ba-0082_16S
SAMN11941745	SRX5989122	SRR9218425	ba-0083_16S
SAMN11941746	SRX5989121	SRR9218426	ba-0086_16S
SAMN11942218	SRX5989120	SRR9218427	cl-0099_16S
SAMN11942217	SRX5989119	SRR9218428	cl-0098_16S
SAMN11942220	SRX5989118	SRR9218429	cl-0101_16S
SAMN11942219	SRX5989117	SRR9218430	cl-0100_16S
SAMN11942121	SRX5989116	SRR9218431	cf-0037_16S
SAMN11942122	SRX5989115	SRR9218432	cg-0001_16S
SAMN11942216	SRX5989114	SRR9218433	cl-0097_16S
SAMN11942215	SRX5989113	SRR9218434	cl-0096_16S
SAMN11942064	SRX5989112	SRR9218435	bj-0083_16S
SAMN11942118	SRX5989111	SRR9218436	ce-0001_16S
SAMN11942119	SRX5989110	SRR9218437	ce-0007_16S
SAMN11942120	SRX5989109	SRR9218438	cf-0001_16S
SAMN11942113	SRX5989108	SRR9218439	cb-0051_16S
SAMN11942114	SRX5989107	SRR9218440	cc-0002_16S
SAMN11942063	SRX5989106	SRR9218441	bj-0082_16S
SAMN11942116	SRX5989105	SRR9218442	cd-0001_16S
SAMN11942029	SRX5989104	SRR9218443	bj-0046_16S
SAMN11941822	SRX5989103	SRR9218444	bc-0068_16S
SAMN11941821	SRX5989102	SRR9218445	bc-0067_16S
SAMN11941814	SRX5989101	SRR9218446	bc-0060_16S
SAMN11941813	SRX5989100	SRR9218447	bc-0059_16S
SAMN11941816	SRX5989099	SRR9218448	bc-0062_16S
SAMN11941815	SRX5989098	SRR9218449	bc-0061_16S
SAMN11941818	SRX5989097	SRR9218450	bc-0064_16S
SAMN11941817	SRX5989096	SRR9218451	bc-0063_16S
SAMN11941820	SRX5989095	SRR9218452	bc-0066_16S
SAMN11941819	SRX5989094	SRR9218453	bc-0065_16S
SAMN11942023	SRX5989093	SRR9218454	bj-0040_16S
SAMN11941282	SRX5989092	SRR9218455	ae-0046_16S
SAMN11941907	SRX5989091	SRR9218456	bh-0056_16S
SAMN11941629	SRX5989090	SRR9218457	ao-0069_16S
SAMN11942101	SRX5989089	SRR9218458	bv-0001_16S
SAMN11942102	SRX5989088	SRR9218459	bv-0024_16S
SAMN11941910	SRX5989087	SRR9218460	bh-0060_16S
SAMN11941630	SRX5989086	SRR9218461	ao-0070_16S
SAMN11941909	SRX5989085	SRR9218462	bh-0059_16S
SAMN11941461	SRX5989084	SRR9218463	am-0166_16S
SAMN11941836	SRX5989083	SRR9218464	bc-0085_16S
SAMN11941835	SRX5989082	SRR9218465	bc-0083_16S
SAMN11941462	SRX5989081	SRR9218466	am-0167_16S
SAMN11941702	SRX5989080	SRR9218467	ba-0037_16S
SAMN11941840	SRX5989079	SRR9218468	bc-0089_16S
SAMN11941839	SRX5989078	SRR9218469	bc-0088_16S
SAMN11941838	SRX5989077	SRR9218470	bc-0087_16S
SAMN11941837	SRX5989076	SRR9218471	bc-0086_16S
SAMN11941695	SRX5989075	SRR9218472	ba-0030_16S
SAMN11941696	SRX5989074	SRR9218473	ba-0031_16S
SAMN11941693	SRX5989073	SRR9218474	ba-0028_16S
SAMN11941694	SRX5989072	SRR9218475	ba-0029_16S
SAMN11941699	SRX5989071	SRR9218476	ba-0034_16S
SAMN11941700	SRX5989070	SRR9218477	ba-0035_16S
SAMN11941697	SRX5989069	SRR9218478	ba-0032_16S
SAMN11941698	SRX5989068	SRR9218479	ba-0033_16S
SAMN11941631	SRX5989067	SRR9218480	ao-0071_16S
SAMN11942213	SRX5989066	SRR9218481	cl-0094_16S
SAMN11941469	SRX5989065	SRR9218482	am-0175_16S
SAMN11942060	SRX5989064	SRR9218483	bj-0079_16S
SAMN11941254	SRX5989063	SRR9218484	ae-0005_16S
SAMN11941253	SRX5989062	SRR9218485	ae-0004_16S
SAMN11941256	SRX5989061	SRR9218486	ae-0008_16S
SAMN11941255	SRX5989060	SRR9218487	ae-0007_16S
SAMN11941281	SRX5989059	SRR9218488	ae-0045_16S
SAMN11941276	SRX5989058	SRR9218489	ae-0032_16S
SAMN11941275	SRX5989057	SRR9218490	ae-0031_16S
SAMN11941274	SRX5989056	SRR9218491	ae-0030_16S
SAMN11941273	SRX5989055	SRR9218492	ae-0029_16S
SAMN11941280	SRX5989054	SRR9218493	ae-0039_16S
SAMN11941279	SRX5989053	SRR9218494	ae-0037_16S
SAMN11941278	SRX5989052	SRR9218495	ae-0034_16S
SAMN11941277	SRX5989051	SRR9218496	ae-0033_16S
SAMN11942072	SRX5989050	SRR9218497	bj-0102_16S
SAMN11942231	SRX5989049	SRR9218498	cl-0113_16S
SAMN11942232	SRX5989048	SRR9218499	cl-0115_16S
SAMN11941701	SRX5989047	SRR9218500	ba-0036_16S
SAMN11941833	SRX5989046	SRR9218501	bc-0081_16S
SAMN11942071	SRX5989045	SRR9218502	bj-0101_16S
SAMN11941984	SRX5989044	SRR9218503	bh-0137_16S
SAMN11941319	SRX5989043	SRR9218504	am-0002_16S
SAMN11941501	SRX5989042	SRR9218505	am-0209_16S
SAMN11942223	SRX5989041	SRR9218506	cl-0105_16S
SAMN11942224	SRX5989040	SRR9218507	cl-0106_16S
SAMN11941989	SRX5989039	SRR9218508	bj-0005_16S
SAMN11941360	SRX5989038	SRR9218509	am-0061_16S
SAMN11941359	SRX5989037	SRR9218510	am-0060_16S
SAMN11941358	SRX5989036	SRR9218511	am-0059_16S
SAMN11941357	SRX5989035	SRR9218512	am-0058_16S
SAMN11941356	SRX5989034	SRR9218513	am-0057_16S
SAMN11941355	SRX5989033	SRR9218514	am-0056_16S
SAMN11941354	SRX5989032	SRR9218515	am-0055_16S
SAMN11941353	SRX5989031	SRR9218516	am-0054_16S
SAMN11942227	SRX5989030	SRR9218517	cl-0109_16S
SAMN11941362	SRX5989029	SRR9218518	am-0063_16S
SAMN11941361	SRX5989028	SRR9218519	am-0062_16S
SAMN11941258	SRX5989027	SRR9218520	ae-0010_16S
SAMN11941257	SRX5989026	SRR9218521	ae-0009_16S
SAMN11941260	SRX5989025	SRR9218522	ae-0012_16S
SAMN11941259	SRX5989024	SRR9218523	ae-0011_16S
SAMN11941262	SRX5989023	SRR9218524	ae-0016_16S
SAMN11941261	SRX5989022	SRR9218525	ae-0014_16S
SAMN11941774	SRX5989021	SRR9218526	bc-0013_16S
SAMN11941773	SRX5989020	SRR9218527	bc-0012_16S
SAMN11941875	SRX5989019	SRR9218528	bh-0020_16S
SAMN11941325	SRX5989018	SRR9218529	am-0008_16S
SAMN11941876	SRX5989017	SRR9218530	bh-0022_16S
SAMN11942222	SRX5989016	SRR9218531	cl-0103_16S
SAMN11941873	SRX5989015	SRR9218532	bh-0018_16S
SAMN11942221	SRX5989014	SRR9218533	cl-0102_16S
SAMN11942165	SRX5989013	SRR9218534	cl-0043_16S
SAMN11941874	SRX5989012	SRR9218535	bh-0019_16S
SAMN11942115	SRX5989011	SRR9218536	cc-0023_16S
SAMN11942166	SRX5989010	SRR9218537	cl-0044_16S
SAMN11941879	SRX5989009	SRR9218538	bh-0026_16S
SAMN11942163	SRX5989008	SRR9218539	cl-0041_16S
SAMN11941880	SRX5989007	SRR9218540	bh-0027_16S
SAMN11942164	SRX5989006	SRR9218541	cl-0042_16S
SAMN11941877	SRX5989005	SRR9218542	bh-0023_16S
SAMN11941782	SRX5989004	SRR9218543	bc-0021_16S
SAMN11941878	SRX5989003	SRR9218544	bh-0025_16S
SAMN11941781	SRX5989002	SRR9218545	bc-0020_16S
SAMN11942167	SRX5989001	SRR9218546	cl-0045_16S
SAMN11941519	SRX5989000	SRR9218547	am-0228_16S
SAMN11942168	SRX5988999	SRR9218548	cl-0046_16S
SAMN11941374	SRX5988998	SRR9218549	am-0075_16S
SAMN11941373	SRX5988997	SRR9218550	am-0074_16S
SAMN11941421	SRX5988996	SRR9218551	am-0122_16S
SAMN11941375	SRX5988995	SRR9218552	am-0076_16S
SAMN11941378	SRX5988994	SRR9218553	am-0079_16S
SAMN11941377	SRX5988993	SRR9218554	am-0078_16S
SAMN11941380	SRX5988992	SRR9218555	am-0081_16S
SAMN11941379	SRX5988991	SRR9218556	am-0080_16S
SAMN11941382	SRX5988990	SRR9218557	am-0083_16S
SAMN11941381	SRX5988989	SRR9218558	am-0082_16S
SAMN11941323	SRX5988988	SRR9218559	am-0006_16S
SAMN11941324	SRX5988987	SRR9218560	am-0007_16S
SAMN11941329	SRX5988986	SRR9218561	am-0012_16S
SAMN11941330	SRX5988985	SRR9218562	am-0013_16S
SAMN11941327	SRX5988984	SRR9218563	am-0010_16S
SAMN11941328	SRX5988983	SRR9218564	am-0011_16S
SAMN11941988	SRX5988982	SRR9218565	bj-0003_16S
SAMN11941521	SRX5988981	SRR9218566	am-0230_16S
SAMN11942083	SRX5988980	SRR9218567	bm-0002_16S
SAMN11941522	SRX5988979	SRR9218568	am-0231_16S
SAMN11941831	SRX5988978	SRR9218569	bc-0079_16S
SAMN11942061	SRX5988977	SRR9218570	bj-0080_16S
SAMN11942062	SRX5988976	SRR9218571	bj-0081_16S
SAMN11941611	SRX5988975	SRR9218572	ao-0043_16S
SAMN11941313	SRX5988974	SRR9218573	aj-0061_16S
SAMN11941625	SRX5988973	SRR9218574	ao-0063_16S
SAMN11941626	SRX5988972	SRR9218575	ao-0065_16S
SAMN11941623	SRX5988971	SRR9218576	ao-0061_16S
SAMN11941624	SRX5988970	SRR9218577	ao-0062_16S
SAMN11941472	SRX5988969	SRR9218578	am-0178_16S
SAMN11941471	SRX5988968	SRR9218579	am-0177_16S
SAMN11941627	SRX5988967	SRR9218580	ao-0066_16S
SAMN11941628	SRX5988966	SRR9218581	ao-0068_16S
SAMN11941468	SRX5988965	SRR9218582	am-0174_16S
SAMN11941467	SRX5988964	SRR9218583	am-0173_16S
SAMN11941470	SRX5988963	SRR9218584	am-0176_16S
SAMN11941632	SRX5988962	SRR9218585	ao-0072_16S
SAMN11941464	SRX5988961	SRR9218586	am-0169_16S
SAMN11941463	SRX5988960	SRR9218587	am-0168_16S
SAMN11941466	SRX5988959	SRR9218588	am-0172_16S
SAMN11941465	SRX5988958	SRR9218589	am-0171_16S
SAMN11941387	SRX5988957	SRR9218590	am-0088_16S
SAMN11941388	SRX5988956	SRR9218591	am-0089_16S
SAMN11941389	SRX5988955	SRR9218592	am-0090_16S
SAMN11941390	SRX5988954	SRR9218593	am-0091_16S
SAMN11941383	SRX5988953	SRR9218594	am-0084_16S
SAMN11941384	SRX5988952	SRR9218595	am-0085_16S
SAMN11941385	SRX5988951	SRR9218596	am-0086_16S
SAMN11941386	SRX5988950	SRR9218597	am-0087_16S
SAMN11941881	SRX5988949	SRR9218598	bh-0028_16S
SAMN11941882	SRX5988948	SRR9218599	bh-0029_16S
SAMN11941391	SRX5988947	SRR9218600	am-0092_16S
SAMN11941392	SRX5988946	SRR9218601	am-0093_16S
SAMN11941648	SRX5988945	SRR9218602	ao-0090_16S
SAMN11941647	SRX5988944	SRR9218603	ao-0089_16S
SAMN11941650	SRX5988943	SRR9218604	ap-0037_16S
SAMN11941649	SRX5988942	SRR9218605	ap-0001_16S
SAMN11941644	SRX5988941	SRR9218606	ao-0086_16S
SAMN11941612	SRX5988940	SRR9218607	ao-0044_16S
SAMN11941646	SRX5988939	SRR9218608	ao-0088_16S
SAMN11941645	SRX5988938	SRR9218609	ao-0087_16S
SAMN11941607	SRX5988937	SRR9218610	ao-0039_16S
SAMN11941608	SRX5988936	SRR9218611	ao-0040_16S
SAMN11941609	SRX5988935	SRR9218612	ao-0041_16S
SAMN11941610	SRX5988934	SRR9218613	ao-0042_16S
SAMN11941603	SRX5988933	SRR9218614	ao-0035_16S
SAMN11941604	SRX5988932	SRR9218615	ao-0036_16S
SAMN11941605	SRX5988931	SRR9218616	ao-0037_16S
SAMN11941606	SRX5988930	SRR9218617	ao-0038_16S
SAMN11942038	SRX5988929	SRR9218618	bj-0055_16S
SAMN11942037	SRX5988928	SRR9218619	bj-0054_16S
SAMN11941651	SRX5988927	SRR9218620	aq-0004_16S
SAMN11942039	SRX5988926	SRR9218621	bj-0056_16S
SAMN11942034	SRX5988925	SRR9218622	bj-0051_16S
SAMN11942033	SRX5988924	SRR9218623	bj-0050_16S
SAMN11942036	SRX5988923	SRR9218624	bj-0053_16S
SAMN11942035	SRX5988922	SRR9218625	bj-0052_16S
SAMN11942057	SRX5988921	SRR9218626	bj-0076_16S
SAMN11942042	SRX5988920	SRR9218627	bj-0060_16S
SAMN11942041	SRX5988919	SRR9218628	bj-0059_16S
SAMN11942058	SRX5988918	SRR9218629	bj-0077_16S
SAMN11941911	SRX5988917	SRR9218630	bh-0061_16S
SAMN11941741	SRX5988916	SRR9218631	ba-0079_16S
SAMN11941742	SRX5988915	SRR9218632	ba-0080_16S
SAMN11941739	SRX5988914	SRR9218633	ba-0077_16S
SAMN11941740	SRX5988913	SRR9218634	ba-0078_16S
SAMN11941737	SRX5988912	SRR9218635	ba-0075_16S
SAMN11941738	SRX5988911	SRR9218636	ba-0076_16S
SAMN11941735	SRX5988910	SRR9218637	ba-0073_16S
SAMN11941736	SRX5988909	SRR9218638	ba-0074_16S
SAMN11941733	SRX5988908	SRR9218639	ba-0070_16S
SAMN11941734	SRX5988907	SRR9218640	ba-0071_16S
SAMN11941562	SRX5988906	SRR9218641	an-0056_16S
SAMN11941561	SRX5988905	SRR9218642	an-0055_16S
SAMN11941334	SRX5988904	SRR9218643	am-0017_16S
SAMN11941951	SRX5988903	SRR9218644	bh-0103_16S
SAMN11941952	SRX5988902	SRR9218645	bh-0104_16S
SAMN11941554	SRX5988901	SRR9218646	an-0048_16S
SAMN11941553	SRX5988900	SRR9218647	an-0047_16S
SAMN11941556	SRX5988899	SRR9218648	an-0050_16S
SAMN11941555	SRX5988898	SRR9218649	an-0049_16S
SAMN11941558	SRX5988897	SRR9218650	an-0052_16S
SAMN11941557	SRX5988896	SRR9218651	an-0051_16S
SAMN11941560	SRX5988895	SRR9218652	an-0054_16S
SAMN11941559	SRX5988894	SRR9218653	an-0053_16S
SAMN11941336	SRX5988893	SRR9218654	am-0019_16S
SAMN11941335	SRX5988892	SRR9218655	am-0018_16S
SAMN11942141	SRX5988891	SRR9218656	cl-0011_16S
SAMN11942209	SRX5988890	SRR9218657	cl-0090_16S
SAMN11942210	SRX5988889	SRR9218658	cl-0091_16S
SAMN11942207	SRX5988888	SRR9218659	cl-0088_16S
SAMN11942208	SRX5988887	SRR9218660	cl-0089_16S
SAMN11942205	SRX5988886	SRR9218661	cl-0086_16S
SAMN11942206	SRX5988885	SRR9218662	cl-0087_16S
SAMN11942203	SRX5988884	SRR9218663	cl-0084_16S
SAMN11941993	SRX5988883	SRR9218664	bj-0009_16S
SAMN11941340	SRX5988882	SRR9218665	am-0023_16S
SAMN11941594	SRX5988881	SRR9218666	ao-0025_16S
SAMN11942211	SRX5988880	SRR9218667	cl-0092_16S
SAMN11942212	SRX5988879	SRR9218668	cl-0093_16S
SAMN11941593	SRX5988878	SRR9218669	ao-0017_16S
SAMN11942240	SRX5988877	SRR9218670	cl-0123_16S
SAMN11942239	SRX5988876	SRR9218671	cl-0122_16S
SAMN11941811	SRX5988875	SRR9218672	bc-0057_16S
SAMN11941812	SRX5988874	SRR9218673	bc-0058_16S
SAMN11942237	SRX5988873	SRR9218674	cl-0120_16S
SAMN11941805	SRX5988872	SRR9218675	bc-0048_16S
SAMN11941806	SRX5988871	SRR9218676	bc-0049_16S
SAMN11941803	SRX5988870	SRR9218677	bc-0046_16S
SAMN11941804	SRX5988869	SRR9218678	bc-0047_16S
SAMN11941809	SRX5988868	SRR9218679	bc-0053_16S
SAMN11941967	SRX5988867	SRR9218680	bh-0120_16S
SAMN11941968	SRX5988866	SRR9218681	bh-0121_16S
SAMN11941969	SRX5988865	SRR9218682	bh-0122_16S
SAMN11941970	SRX5988864	SRR9218683	bh-0123_16S
SAMN11941810	SRX5988863	SRR9218684	bc-0054_16S
SAMN11941807	SRX5988862	SRR9218685	bc-0051_16S
SAMN11941808	SRX5988861	SRR9218686	bc-0052_16S
SAMN11941602	SRX5988860	SRR9218687	ao-0034_16S
SAMN11941710	SRX5989523	SRR9218688	ba-0045_16S
SAMN11941709	SRX5989522	SRR9218689	ba-0044_16S
SAMN11941708	SRX5989521	SRR9218690	ba-0043_16S
SAMN11941707	SRX5989520	SRR9218691	ba-0042_16S
SAMN11941706	SRX5989519	SRR9218692	ba-0041_16S
SAMN11941705	SRX5989518	SRR9218693	ba-0040_16S
SAMN11941704	SRX5989517	SRR9218694	ba-0039_16S
SAMN11941703	SRX5989516	SRR9218695	ba-0038_16S
SAMN11942176	SRX5989515	SRR9218696	cl-0054_16S
SAMN11941867	SRX5989514	SRR9218697	bh-0012_16S
SAMN11941351	SRX5989513	SRR9218698	am-0052_16S
SAMN11942175	SRX5989512	SRR9218699	cl-0053_16S
SAMN11941870	SRX5989511	SRR9218700	bh-0015_16S
SAMN11941352	SRX5989510	SRR9218701	am-0053_16S
SAMN11942053	SRX5989509	SRR9218702	bj-0072_16S
SAMN11941869	SRX5989508	SRR9218703	bh-0014_16S
SAMN11941267	SRX5989507	SRR9218704	ae-0022_16S
SAMN11941268	SRX5989506	SRR9218705	ae-0024_16S
SAMN11941269	SRX5989505	SRR9218706	ae-0025_16S
SAMN11941270	SRX5989504	SRR9218707	ae-0026_16S
SAMN11941263	SRX5989503	SRR9218708	ae-0018_16S
SAMN11941264	SRX5989502	SRR9218709	ae-0019_16S
SAMN11941265	SRX5989501	SRR9218710	ae-0020_16S
SAMN11941266	SRX5989500	SRR9218711	ae-0021_16S
SAMN11942180	SRX5989499	SRR9218712	cl-0058_16S
SAMN11941271	SRX5989498	SRR9218713	ae-0027_16S
SAMN11941272	SRX5989497	SRR9218714	ae-0028_16S
SAMN11942142	SRX5989496	SRR9218715	cl-0014_16S
SAMN11942173	SRX5989495	SRR9218716	cl-0051_16S
SAMN11942075	SRX5989494	SRR9218717	bj-0106_16S
SAMN11941512	SRX5989493	SRR9218718	am-0221_16S
SAMN11941999	SRX5989492	SRR9218719	bj-0016_16S
SAMN11941511	SRX5989491	SRR9218720	am-0220_16S
SAMN11942052	SRX5989490	SRR9218721	bj-0071_16S
SAMN11942051	SRX5989489	SRR9218722	bj-0070_16S
SAMN11941949	SRX5989488	SRR9218723	bh-0101_16S
SAMN11941715	SRX5989487	SRR9218724	ba-0050_16S
SAMN11941716	SRX5989486	SRR9218725	ba-0051_16S
SAMN11941365	SRX5989485	SRR9218726	am-0066_16S
SAMN11941366	SRX5989484	SRR9218727	am-0067_16S
SAMN11941363	SRX5989483	SRR9218728	am-0064_16S
SAMN11941364	SRX5989482	SRR9218729	am-0065_16S
SAMN11941369	SRX5989481	SRR9218730	am-0070_16S
SAMN11941370	SRX5989480	SRR9218731	am-0071_16S
SAMN11941367	SRX5989479	SRR9218732	am-0068_16S
SAMN11941368	SRX5989478	SRR9218733	am-0069_16S
SAMN11941906	SRX5989477	SRR9218734	bh-0055_16S
SAMN11941333	SRX5989476	SRR9218735	am-0016_16S
SAMN11941371	SRX5989475	SRR9218736	am-0072_16S
SAMN11941372	SRX5989474	SRR9218737	am-0073_16S
SAMN11941338	SRX5989473	SRR9218738	am-0021_16S
SAMN11941337	SRX5989472	SRR9218739	am-0020_16S
SAMN11942154	SRX5989471	SRR9218740	cl-0031_16S
SAMN11941339	SRX5989470	SRR9218741	am-0022_16S
SAMN11941721	SRX5989469	SRR9218742	ba-0057_16S
SAMN11942170	SRX5989468	SRR9218743	cl-0048_16S
SAMN11941722	SRX5989467	SRR9218744	ba-0058_16S
SAMN11941823	SRX5989466	SRR9218745	bc-0069_16S
SAMN11941971	SRX5989465	SRR9218746	bh-0124_16S
SAMN11941975	SRX5989464	SRR9218747	bh-0128_16S
SAMN11941974	SRX5989463	SRR9218748	bh-0127_16S
SAMN11941973	SRX5989462	SRR9218749	bh-0126_16S
SAMN11941980	SRX5989461	SRR9218750	bh-0133_16S
SAMN11941979	SRX5989460	SRR9218751	bh-0132_16S
SAMN11941978	SRX5989459	SRR9218752	bh-0131_16S
SAMN11941977	SRX5989458	SRR9218753	bh-0130_16S
SAMN11941825	SRX5989457	SRR9218754	bc-0071_16S
SAMN11941982	SRX5989456	SRR9218755	bh-0135_16S
SAMN11941981	SRX5989455	SRR9218756	bh-0134_16S
SAMN11942048	SRX5989454	SRR9218757	bj-0066_16S
SAMN11941826	SRX5989453	SRR9218758	bc-0072_16S
SAMN11941376	SRX5989452	SRR9218759	am-0077_16S
SAMN11942047	SRX5989451	SRR9218760	bj-0065_16S
SAMN11942149	SRX5989450	SRR9218761	cl-0026_16S
SAMN11941332	SRX5989449	SRR9218762	am-0015_16S
SAMN11942050	SRX5989448	SRR9218763	bj-0068_16S
SAMN11942228	SRX5989447	SRR9218764	cl-0110_16S
SAMN11942229	SRX5989446	SRR9218765	cl-0111_16S
SAMN11941990	SRX5989445	SRR9218766	bj-0006_16S
SAMN11942230	SRX5989444	SRR9218767	cl-0112_16S
SAMN11942049	SRX5989443	SRR9218768	bj-0067_16S
SAMN11942177	SRX5989442	SRR9218769	cl-0055_16S
SAMN11941481	SRX5989441	SRR9218770	am-0187_16S
SAMN11941482	SRX5989440	SRR9218771	am-0188_16S
SAMN11941479	SRX5989439	SRR9218772	am-0185_16S
SAMN11941480	SRX5989438	SRR9218773	am-0186_16S
SAMN11941477	SRX5989437	SRR9218774	am-0183_16S
SAMN11941478	SRX5989436	SRR9218775	am-0184_16S
SAMN11941475	SRX5989435	SRR9218776	am-0181_16S
SAMN11941476	SRX5989434	SRR9218777	am-0182_16S
SAMN11941473	SRX5989433	SRR9218778	am-0179_16S
SAMN11941474	SRX5989432	SRR9218779	am-0180_16S
SAMN11941850	SRX5989431	SRR9218780	bc-0100_16S
SAMN11941849	SRX5989430	SRR9218781	bc-0099_16S
SAMN11941832	SRX5989429	SRR9218782	bc-0080_16S
SAMN11941847	SRX5989428	SRR9218783	bc-0096_16S
SAMN11941846	SRX5989427	SRR9218784	bc-0095_16S
SAMN11941845	SRX5989426	SRR9218785	bc-0094_16S
SAMN11941844	SRX5989425	SRR9218786	bc-0093_16S
SAMN11941843	SRX5989424	SRR9218787	bc-0092_16S
SAMN11941326	SRX5989423	SRR9218788	am-0009_16S
SAMN11941852	SRX5989422	SRR9218789	bc-0102_16S
SAMN11941851	SRX5989421	SRR9218790	bc-0101_16S
SAMN11941659	SRX5989420	SRR9218791	au-0002_16S
SAMN11941660	SRX5989419	SRR9218792	au-0066_16S
SAMN11941657	SRX5989418	SRR9218793	at-0004_16S
SAMN11941658	SRX5989417	SRR9218794	at-0044_16S
SAMN11941655	SRX5989416	SRR9218795	as-0002_16S
SAMN11941656	SRX5989415	SRR9218796	as-0033_16S
SAMN11941653	SRX5989414	SRR9218797	ar-0002_16S
SAMN11941654	SRX5989413	SRR9218798	ar-0039_16S
SAMN11942070	SRX5989412	SRR9218799	bj-0100_16S
SAMN11942069	SRX5989411	SRR9218800	bj-0098_16S
SAMN11942068	SRX5989410	SRR9218801	bj-0096_16S
SAMN11942067	SRX5989409	SRR9218802	bj-0095_16S
SAMN11942066	SRX5989408	SRR9218803	bj-0090_16S
SAMN11942065	SRX5989407	SRR9218804	bj-0087_16S
SAMN11941661	SRX5989406	SRR9218805	av-0006_16S
SAMN11941662	SRX5989405	SRR9218806	av-0107_16S
SAMN11941565	SRX5989404	SRR9218807	an-0062_16S
SAMN11942030	SRX5989403	SRR9218808	bj-0047_16S
SAMN11942027	SRX5989402	SRR9218809	bj-0044_16S
SAMN11942028	SRX5989401	SRR9218810	bj-0045_16S
SAMN11942025	SRX5989400	SRR9218811	bj-0042_16S
SAMN11942026	SRX5989399	SRR9218812	bj-0043_16S
SAMN11941566	SRX5989398	SRR9218813	an-0064_16S
SAMN11942024	SRX5989397	SRR9218814	bj-0041_16S
SAMN11942193	SRX5989396	SRR9218815	cl-0071_16S
SAMN11942179	SRX5989395	SRR9218816	cl-0057_16S
SAMN11942031	SRX5989394	SRR9218817	bj-0048_16S
SAMN11942032	SRX5989393	SRR9218818	bj-0049_16S
SAMN11941946	SRX5989392	SRR9218819	bh-0098_16S
SAMN11941551	SRX5989391	SRR9218820	an-0045_16S
SAMN11941552	SRX5989390	SRR9218821	an-0046_16S
SAMN11941526	SRX5989389	SRR9218822	an-0004_16S
SAMN11941545	SRX5989388	SRR9218823	an-0039_16S
SAMN11941546	SRX5989387	SRR9218824	an-0040_16S
SAMN11941572	SRX5989386	SRR9218825	an-0071_16S
SAMN11941544	SRX5989385	SRR9218826	an-0038_16S
SAMN11941549	SRX5989384	SRR9218827	an-0043_16S
SAMN11941550	SRX5989383	SRR9218828	an-0044_16S
SAMN11941547	SRX5989382	SRR9218829	an-0041_16S
SAMN11941548	SRX5989381	SRR9218830	an-0042_16S
SAMN11941943	SRX5989380	SRR9218831	bh-0095_16S
SAMN11942171	SRX5989379	SRR9218832	cl-0049_16S
SAMN11942202	SRX5989378	SRR9218833	cl-0083_16S
SAMN11942201	SRX5989377	SRR9218834	cl-0082_16S
SAMN11942196	SRX5989376	SRR9218835	cl-0074_16S
SAMN11942195	SRX5989375	SRR9218836	cl-0073_16S
SAMN11942194	SRX5989374	SRR9218837	cl-0072_16S
SAMN11942054	SRX5989373	SRR9218838	bj-0073_16S
SAMN11942200	SRX5989372	SRR9218839	cl-0079_16S
SAMN11942199	SRX5989371	SRR9218840	cl-0078_16S
SAMN11942198	SRX5989370	SRR9218841	cl-0077_16S
SAMN11942197	SRX5989369	SRR9218842	cl-0075_16S
SAMN11941944	SRX5989368	SRR9218843	bh-0096_16S
SAMN11942174	SRX5989367	SRR9218844	cl-0052_16S
SAMN11942145	SRX5989366	SRR9218845	cl-0017_16S
SAMN11941802	SRX5989365	SRR9218846	bc-0043_16S
SAMN11941801	SRX5989364	SRR9218847	bc-0042_16S
SAMN11941800	SRX5989363	SRR9218848	bc-0041_16S
SAMN11941799	SRX5989362	SRR9218849	bc-0039_16S
SAMN11941798	SRX5989361	SRR9218850	bc-0038_16S
SAMN11941797	SRX5989360	SRR9218851	bc-0037_16S
SAMN11941796	SRX5989359	SRR9218852	bc-0036_16S
SAMN11941795	SRX5989358	SRR9218853	bc-0035_16S
SAMN11941794	SRX5989357	SRR9218854	bc-0034_16S
SAMN11941793	SRX5989356	SRR9218855	bc-0033_16S
SAMN11942044	SRX5989355	SRR9218856	bj-0062_16S
SAMN11942225	SRX5989354	SRR9218857	cl-0107_16S
